shapeid,district,population,0-2000,2000-3999,4000-5999,6000-7999,8000-9999,10000-14999,15000-19999,20000-24999,25000-29999,30000-39999,40000-59999,60000-79999,80000-99999,100000,median monthly,public,private flat,private,other,temporary
6.1,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
6.2,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
6.3,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
6.4,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
6.5,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
6.6,North,315270,5025,1878,5782,4870,4718,14063,12029,10485,7299,13451,16177,6118,2428,2160,14900,8.2,27.7,24.4,30.3,21.6
7,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.1,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.2,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.3,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.4,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.5,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.6,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.7,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.8,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.9,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.1,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
7.11,Sai Kung,461864,5414,1860,6927,4804,3910,12055,11201,11986,9583,19468,26494,13931,8091,12221,16000,9.2,28.6,26.9,23.3,23.5
